title,author
Why Do Men Fall Asleep After Sex?,Mark Leyner;Billy Goldberg
Everyday Pasta,Giada De Laurentiis
Dreams from My Father,Barack Obama
The Church on the Other Side,Brian D. McLaren
The Church in Emerging Culture,Andy Crouch
Becoming a Contagious Christian,Mark Mittelberg;Lee Strobel;Bill Hybels
Journey into God's Word,J. Scott Duvall;J. Daniel Hays
Velvet Elvis,Rob Bell
The Awakening,Kate Chopin
The Great Ape Project,Paola Cavalieri;Peter Singer
White Man's Grave,Richard Dooling
Isak Dinesen,Judith Thurman
Four Weddings and a Funeral,Richard Curtis
From Bondage,Henry Roth
Mary Queen of Scotland & The Isles,Margaret George
The Communist Manifesto: Marx,John Toews
Human Croquet,Kate Atkinson
The Autobiography of Henry VIII,Margaret George
One Thousand White Women,Jim Fergus
Requiem for Harlem,Henry Roth
"James Tiptree, Jr.",Julie Phillips
Birds of America,Lorrie Moore
And The Band Played on,Randy Shilts
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch
Death in Kashmir,M. M. Kaye
Four Mothers,Shifra Horn;Dalya Bilu
Timbuktu,Paul Auster
The Naked and the Dead,Norman Mailer
Enchanted Evening,M. M. Kaye
The Satanic Verses,Salman Rushdie
Absent in the Spring and Other Novels,Mary Westmacott;Agatha Christie
An Unfortunate Woman,Richard Brautigan
The Glass Bead Game,Hermann Hesse
Emotionally Weird,Kate Atkinson
A Writer's Workbook,Caroline Sharp;Elizabeth Gilbert
Waiting for My Cats to Die,Stacy Horn
Serious Girls,Maxine Swann
Education As My Agenda,Gertrude S. Williams;Jo Ann Robinson
The Last Jew,Noah Gordon
How to Write a Damn Good Mystery,James N. Frey
Jenny and the Jaws of Life,Jincy Willett
McCarthy's Bar,Pete McCarthy
The Pythons,Graham Chapman;John Cleese;Terry Gilliam;Michael Palin;Eric Idle;Terry Jones
The Little Princesses,Marion Crawford
The New York Times Guide to Essential Knowledge,The New York Times
Little Children,Tom Perrotta
The Gatekeeper,Terry Eagleton
Dominion,Matthew Scully
Spider Mountain,P. T. Deutermann
Where the Mountain Casts Its Shadow,Maria Coffey
Sideways,Rex Pickett
The Last Wife of Henry VIII,Carolly Erickson
The Red Tent,Anita Diamant
The Silver Pigs,Lindsey Davis
Marked,P. C. Cast;Kristin Cast
More Plums in One,Janet Evanovich
Beatrix Potter,Linda Lear
The Twenty-Seventh City,Jonathan Franzen
"Haussmann, Or the Distinction",Paul LaFarge
The Journey to the East,Hermann Hesse
Middlesex,Jeffrey Eugenides
The Interpreter,Suki Kim
Hand to Mouth,Paul Auster
A Feather on the Breath of God,Sigrid Nunez
Galatea 2.2,Richard Powers
The River at the Center of the World,Simon Winchester
Primo Levi,Ian Thomson
A Home at the End of the World,Michael Cunningham
I Am Charlotte Simmons,Tom Wolfe
Small Island,Andrea Levy
Collected Prose,Paul Auster
Saints at the River,Ron Rash
Vita,Melania G. Mazzucco
Night Draws Near,Anthony Shadid
A Woman in Berlin,Anonymous
The Brooklyn Follies,Paul Auster
The Price of the Ticket,James Baldwin
Xenocide,Orson Scott Card
"The Demon Princes, Vol. 2",Jack Vance
Jack of Kinrowan,Charles de Lint
The Land of Laughs,Jonathan Carroll
Tales of the Dying Earth,Jack Vance
Duel,Richard Matheson
Sword & Citadel,Gene Wolfe
Pacific Edge,Kim Stanley Robinson
Devil's Backbone,Terry C. Johnston
Name Dropping,Rachael F. Heller
Seven Up,Janet Evanovich
Warlock,Wilbur Smith
True Believers,Jane Haddam
Hard Eight,Janet Evanovich
Robert Ludlum's The Moscow Vector,Robert Ludlum;Patrick Larkin
The Fantastic Vampire,James Craig Holte
From Hinton to Hamlet,Sarah K. Herz;Donald R. Gallo
Oblivion,David Foster Wallace
The Beatles,Bob Spitz
The Terror,Dan Simmons
Hollywood Station,Joseph Wambaugh
Consider the Lobster,David Foster Wallace
Blink,Malcolm Gladwell
Paint it Black,Janet Fitch
White Oleander,Janet Fitch
Midnight Riders,Scott Freeman
The Black Veil,Rick Moody
"Harry Bosch Novels, The: Volume 2",Michael Connelly
The Ice Storm,Rick Moody
Strangers from a Different Shore,Ronald Takaki
An Unfinished Life,Robert Dallek
Gossip Girl #3: All I Want is Everything,Cecily von Ziegesar
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace
Don't Stop the Carnival,Herman Wouk
American Government,Karen O'Connor;Larry Sabato
Essentials of American Government,Karen O'Connor;Larry J. Sabato
Don't Make Me Think!,Steve Krug
The Power of One,Louis E. Catron
An Unquiet Mind,Kay Redfield Jamison
Bridget Jones,Helen Fielding
Hot Six,Janet Evanovich
Bosnia,Noel Malcolm
Under the Banner of Heaven,Jon Krakauer
Chasing the Monsoon,Alexander Frater
City on the Seine,Andrew P. Trout
How the Irish Saved Civilization,Thomas Cahill
On Writing,Stephen King
The Fellowship of the Ring,John Ronald Reuel Tolkien
Douglas Adams's Starship Titanic,Terry Jones
The Mantle of Kendis-Dai,Margaret Weis;Tracy Hickman
The Princess Bride,William Goldman
Merrick,Anne Rice
Nightsword,Margaret Weis;Tracy Hickman
The Genome War,James Shreeve
The Analects of Confucius,Confucius;Roger T. Ames;Henry Rosemont
The Real James Herriot,James Wight;Jim Wight
Henry VIII,Alison Weir
The Courtesan,Susan Carroll
My Movie Business,John Irving
Time to Be in Earnest,P. D. James
A Stroke of Midnight,Laurell K. Hamilton
Edge of Victory II,Greg Keyes
Boogaloo on 2nd Avenue,Mark Kurlansky
Star Wars,Daniel Wallace
Star Wars,W. Haden Blackman
Clay's Quilt,Silas House
Shadow Dance,Julie Garwood
1968,Mark Kurlansky
The Vampire Chronicles Collection,Anne Rice
Tales Before Tolkien,Douglas A. Anderson
To The Last Man,Jeff Shaara
Yoda,Sean Stewart
Perfect Nightmare,John Saul
Oh My Stars,Lorna Landvik
The Amateur Marriage,Anne Tyler
Star Wars,James Luceno
The Guns of August,Barbara Wertheim Tuchman
Wish You Were Here,Nick Webb
Vanish,Tess Gerritsen
Darth Bane,Drew Karpyshyn
Star Wars,Timothy Zahn
Star Wars,Ann Margaret Lewis;Helen Keier
Tsubasa,CLAMP (Mangaka group)
Trump,Donald Trump
Ego & Hubris,Harvey Pekar
The Coal Tattoo,Silas House
Candy Licker,Noire
The Devil's Labyrinth,John Saul
Star Wars Republic Commando,Karen Traviss
The Plague Dogs,Richard Adams
The Making of Star Wars,J. W. Rinzler
Hitler's Willing Executioners,Daniel Jonah Goldhagen
The Tipping Point,Malcolm Gladwell
Aldous Huxley,Nicholas Murray
The MacGregors,Nora Roberts
"And the Envelope, Please...",Barbara Bretton;Emilie Rose;Isabel Sharpe
Seven Sunny Days,Chris Manby
The Echo Maker,Richard Powers
Sylvia,Leonard Michaels
The World Is Flat [Updated and Expanded],Thomas L. Friedman
The Discomfort Zone,Jonathan Franzen
Satan in Goray,Isaac Bashevis Singer
The Spirit Level,Seamus Heaney
The Artist of the Missing,Paul LaFarge
The Magic Barrel,Bernard Malamud
The Eclogues of Virgil,Virgil
The Oresteia of Aeschylus,Aeschylus;Ted Hughes
The Brothers Karamazov,Fyodor Dostoevsky
"Get Out of My Life, But First Could You Drive Me & Cheryl to the Mall",Anthony E. Wolf
Crescent and Star,Stephen Kinzer
The Fixer,Bernard Malamud
Play It As It Lays,Joan Didion
Gimpel the Fool,Isaac Bashevis Singer
Martin and John,Dale Peck
Sophie's World,Jostein Gaarder
Ralph Ellison,Arnold Rampersad
Cliffs of Despair,Tom Hunt
In Cold Blood,Truman Capote
Shakespeare's Kitchen,Francine Segan
The Amen Corner,James Baldwin
Melville,Andrew Delbanco
Maximum City,Suketu Mehta
White Teeth,Zadie Smith
The Autograph Man,Zadie Smith
Sons of Mississippi,Paul Hendrickson
Founding Brothers,Joseph J. Ellis
Crucible of War,Fred Anderson
The Working Poor,David K. Shipler
Masters of Death,Richard Rhodes
De Kooning,Mark Stevens;Annalyn Swan
John James Audubon,Richard Rhodes
Mediterranean Winter,Robert D. Kaplan
Manufacturing Consent,Edward S. Herman;Noam Chomsky
Mythology,Alex Ross
Peanuts,Charles M. Schulz
Ghostwritten,David Mitchell
Theatre,William Somerset Maugham
The bridegroom,Ha Jin
Stranger in the Forest,Eric Hansen
Double Fold,Nicholson Baker
Julian,Gore Vidal
"Salonica, City of Ghosts",Mark Mazower
Sailing Alone Around the Room,Billy Collins
The Trouble With Poetry,Billy Collins
Pipe Dream,Solomon Jones
Comfort Me With Apples,Ruth Reichl
The Botany of Desire,Michael Pollan
Savage Beauty,Nancy Milford
The Survivor,John F. Harris
The Truth About The Drug Companies,Marcia Angell
"Junie B., First Grader",Barbara Park
Ancient Greece and the Olympics,Mary Pope Osborne;Natalie Pope Boyce
Young Warriors,Tamora Pierce;Josepha Sherman
Tsunamis and Other Natural Disasters,Mary Pope Osborne;Natalie Pope Boyce
Naomi and Ely's No Kiss List,Rachel Cohn;David Levithan
Laura,Donald Zochert
Neither Here Nor There:,Bill Bryson
Killing Time,Cynthia Harrod-Eagles
Anne Frank,Johanna Hurwitz
Smoke and Mirrors,Neil Gaiman
Sins of a Shaker Summer,Deborah Woodworth
Exile's Return,Raymond E. Feist
The Great Book of Amber,Roger Zelazny
Lamb,Christopher Moore
The Body in the Lighthouse,Katherine Hall Page
Trials of Tears,John Ehle
Shakespeare A to Z,Charles Boyce;David Allen White
The Outlandish Companion,Diana Gabaldon
Black and Blue,Anna Quindlen
Intuition,Allegra Goodman
The Art of Alfred Hitchcock,Donald Spoto;Donald Spoto
The Art of Alfred Hitchcock,M.A.
The Art of Alfred Hitchcock,Ph.D.
The Art of the Personal Essay,Phillip Lopate
Like Water for Chocolate,Laura Esquivel
Marie Antoinette,Antonia Fraser
Fermat's Enigma,Simon Singh
The Mating Mind,Geoffrey Miller
The Code Book,Simon Singh
Sailing the Wine-Dark Sea,Thomas Cahill
Thumbsucker,Walter Kirn
Waterfront,Phillip Lopate
Moral Disorder,Margaret Atwood
The French Kitchen,Joanne Harris;Fran Warde
Oryx and Crake,Margaret Atwood
Atonement,Ian McEwan
Man Walks Into a Room,Nicole Krauss
In the Beginning,Alister E. McGrath
Ella Minnow Pea,Mark Dunn
Forever in Blue,Ann Brashares
Anatomy of a Boyfriend,Daria Snadowsky
What Einstein Told His Cook,Robert L. Wolke;Marlene Parrish
The Annotated Huckleberry Finn,Mark Twain
The Confident Child,T. E. Apter
Will in the World,Stephen Greenblatt;Stephen Jay Greenblatt
The Annotated Christmas Carol,Charles Dickens
Redemption,Steven G. Kellman
"Power, Faith, and Fantasy",Michael B. Oren
Six Frigates,Ian W. Toll
The 9/11 Commission Report,National Commission on Terrorist Attacks upon the United States
Coach,Michael M. Lewis
Will Eisner's New York,Will Eisner
IWoz,Steve Wozniak;Gina Smith
The Making of the Fittest,Sean B. Carroll
The Richness of Life,Stephen Jay Gould
Eight Little Piggies,Stephen Jay Gould
Black Holes and Time Warps,Kip Thorne;Kip S. Thorne;Stephen Hawking
"""What Do You Care what Other People Think?""",Richard Phillips Feynman;Ralph Leighton
Police Brutality,Jill Nelson
Living on the Razor's Edge,Matthew D. Selekman
Paradise Lost,John Milton
A History of Modern Europe,John M. Merriman
Born in Blood and Fire,John Charles Chasteen
The Turn of the Screw,Henry James;Deborah Esch;Jonathan Warren
"Walden ; And, Resistance to Civil Government",Henry David Thoreau
The Awakening,Kate Chopin;Margo Culley
Paradise Lost,John Milton;Scott Elledge
Robinson Crusoe,Daniel Defoe;Michael Shinagel
George Bernard Shaw's Plays,Bernard Shaw
Death and the King's Horseman,Wole Soyinka;Simon Gikandi
The Tempest,William Shakespeare;Peter Hulme;William Howard Sherman
The Castle in the Forest,Norman Mailer
"Richard Brautigan's A Confederate General from Big Sur, Dreaming of Babylon, and The Hawkline Monster",Richard Brautigan
Revenge of the Lawn,Richard Brautigan
John's Story,Tim F. LaHaye
The Navigator,Clive Cussler
The Truth,Terry Pratchett
Jesus' Son,Denis Johnson
The Franco-Prussian War,Michael Howard
Diana Wynne Jones,Farah Mendlesohn
It's Not About the Bike,Lance Armstrong
E,David Bodanis
Tom Clancy's Net Force,Tom Clancy;Steve Perry;Steve Pieczenik
The Magical Worlds of the Lord of the Rings,David Colbert
McNally's Alibi,Vincent Lardo;Lawrence Sanders
Death's Acre,Bill Bass;William M. Bass;Jon Jefferson
Murder on the Orient Express,Agatha Christie
Prince of Ice,Emma Holly
Cat's Cradle,Andrew Cartmel
Catwings,Ursula K. Le Guin
Harry Potter,J. K. Rowling
Gothic!,Deborah Noyes
A break with charity,Ann Rinaldi
The Harry Potter Collection,J. K. Rowling
Ghosthunters and the Muddy Monster of Doom!,Cornelia Caroline Funke
Guardians of Ga'hoole,Kathryn Lasky
This is Push,David Levithan
Tai-Pan,James Clavell
Flags Of Our Fathers,James Bradley
How Angel Peterson Got His Name,Gary Paulsen
Stay!,Lois Lowry
Vincent Van Gogh,Jan Greenberg;Sandra Jane Jordan
Tucket's Travels,Gary Paulsen
Beowulf,Robert Nye
Riddle-master,Patricia A. McKillip
The Celestine Prophecy,James Redfield
The Everyday Life Bible,Joyce Meyer
The Serial Killers Club,Jeff Povey
I Like You,Amy Sedaris
The Coming Economic Collapse,Stephen Leeb;Glen Strathy
The White Wolf's Son,Michael Moorcock
One L,Scott Turow
Hope is the Thing with Feathers,Christopher Cokinos
The War of Art,Steven Pressfield
The Daily Show with Jon Stewart Presents America (The Book) Teacher's Edition,Jon Stewart;The Writers of The Daily Show
Feynman's Rainbow,Leonard Mlodinow
Sister Freaks,Rebecca St. James
Fear and Loathing,Hunter S. Thompson
A Thread of Grace,Mary Doria Russell
The Dragon Doesn't Live Here Anymore,Alan Cohen
Fools Die,Mario Puzo
Cujo,Stephen King
For the New Intellectual,Ayn Rand
The Virtue of Selfishness,Ayn Rand;Nathaniel Branden
The Eyes of the Dragon,Stephen King
It,Stephen King
Blessings from the Other Side,Sylvia Browne;Lindsay Harrison
The Love You Make,Peter Brown;Steven S. Gaines
Codebreakers' Victory,Hervie Haufler
The Agony and the Ecstasy,Irving Stone
Dark Lover,J. R. Ward
Bitter is the New Black,Jen Lancaster
Lover Eternal,J. R. Ward
Lover Awakened,J. R. Ward
What Angels Fear,C. S. Harris
"Bright Lights, Big Ass",Jen Lancaster
Lover Revealed,J. R. Ward;Jessica Bird Ward
Bored of the Rings,Henry Beard;Harvard Lampoon;Douglas C. Kenney
Beowulf,Burton Raffel
The Origin of Species,Charles Darwin
Pygmalion,Bernard Shaw;Alan Jay Lerner
The Oedipus Plays of Sophocles,Sophocles;Paul Roche
When Food is Love,Geneen Roth
Feeding the Hungry Heart,Geneen Roth
The McDougall Quick and Easy Cookbook,John A. McDougall;Mary McDougall
Savage Love,Dan Savage
City of God,E. L. Doctorow
Hot Chocolate for the Mystical Lover,Arielle Ford
Riding the Bus with My Sister,Rachel Simon
A Long Short War,Christopher Hitchens
War and Peace and War,Peter Turchin
The Sword and the Shield,Christopher Andrew;Vasili Mitrokhin
The Clock Of The Long Now,Stewart Brand
The Evolution of Desire,David M. Buss
The Culture of Fear,Barry Glassner
The Pleasure of Finding Things Out,Richard Phillips Feynman
Why is sex fun?,Jared M. Diamond
Shattered Bonds,Dorothy E. Roberts
Applied Economics,Thomas Sowell
Crash Proof,Peter D. Schiff;John Downes
The Skeptic's Dictionary,Robert Carroll
Color Drawing,Michael E. Doyle
The Warren Buffett CEO,Robert P. Miles
Information Technology for Management,Efraim Turban
Limbo,Alfred Lubrano
Lady on the Hill,Howard E. Covington
Feminist Measures,Lynn Keller;Cristanne Miller
Lost Continents,Lyon Sprague De Camp
1001 Illuminated Initial Letters,Owen Jones
The Marriage of Heaven and Hell,William Blake
The Oresteia Trilogy,Aeschylus;E. D. A. Morshead
Enter Jeeves,P. G. Wodehouse;David A. Jasen
The Wit and Wisdom of Mark Twain,Mark Twain
The Sword of Welleran,Lord Dunsany
On the Origin of Species,Charles Darwin
The Seventy Wonders of the Ancient World,Christopher Scarre
Graphic Design,Richard Hollis
Cravings,MaryJanice Davidson;Eileen Wilks;Rebecca York
John Irving,John Irving
The Orion Mystery,Robert Bauval
The Politics of Cultural Despair,Fritz R. Stern
The Responsibility of Forms,Roland Barthes
Balanchine,Bernard Taper
Infections and Inequalities,Paul Farmer
Exiled in Paris,James Campbell
The Whole World Is Watching,Todd Gitlin
Berlioz,David Cairns
Pathologies of Power,Paul Farmer
Storming the Gates of Paradise,Rebecca Solnit
Gardening with a Wild Heart,Judith Larner Lowry
The Ethics and Politics of Asylum,Matthew J. Gibney
The Presocratic Philosophers,G. S. Kirk;J. E. Raven;M. Schofield
Moral Luck,Bernard Williams
Problems of the Self,Bernard Williams
The Rise and Fall of Anne Boleyn,Retha M. Warnicke
Foucault's Virginity,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill
Pearl S. Buck,Peter Conn;Peter J. Conn
Numerical Recipes Example Book (C++),William T. Vetterling
Myths of the Underworld Journey,Radcliffe G. Edmonds
